id,title,overview,genres,keywords,cast,search_text
1627792,Sagaran,"As female motorcycle racer Mica and her mechanic boyfriend Migo join a motor shop's team, they try to navigate a new set of complicated relationships that'll push them to the limit.",['Drama'],['sexy'],"['Ashley Lopez', 'Yda Manzano', 'Marco Gomez', 'Ralmon Mendoza', 'Kurt Veneracion']","Sagaran | As female motorcycle racer Mica and her mechanic boyfriend Migo join a motor shop's team, they try to navigate a new set of complicated relationships that'll push them to the limit. | Genres: Drama | Keywords: sexy | Cast: Ashley Lopez, Yda Manzano, Marco Gomez, Ralmon Mendoza, Kurt Veneracion"
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","['Action', 'Science Fiction', 'Adventure']","['survival', 'outcast', 'alien planet', 'team up', 'intense', 'hostile alien wilderness', 'relentless hunt', 'intense creature combat']","['Elle Fanning', 'Dimitrius Schuster-Koloamatangi', 'Ravi Narayan', 'Michael Homick', 'Stefan Grube']","Predator: Badlands | Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary. | Genres: Action, Science Fiction, Adventure | Keywords: survival, outcast, alien planet, team up, intense, hostile alien wilderness, relentless hunt, intense creature combat | Cast: Elle Fanning, Dimitrius Schuster-Koloamatangi, Ravi Narayan, Michael Homick, Stefan Grube"
1539104,JUJUTSU KAISEN: Execution,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.","['Animation', 'Action', 'Fantasy']","['compilation', 'based on manga', 'edited from tv series', 'shounen', 'anime', 'distressing']","['Junya Enoki', 'Megumi Ogata', 'Koji Yusa', 'Daisuke Namikawa', 'Yuma Uchida']","JUJUTSU KAISEN: Execution | A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc. | Genres: Animation, Action, Fantasy | Keywords: compilation, based on manga, edited from tv series, shounen, anime, distressing | Cast: Junya Enoki, Megumi Ogata, Koji Yusa, Daisuke Namikawa, Yuma Uchida"
1135873,GGS - Ganteng-Ganteng Sange,Kelas Bintang is back with this pack of drama called GGS - Ganteng-Ganteng Sange.,"['Drama', 'Romance']",[],[],"GGS - Ganteng-Ganteng Sange | Kelas Bintang is back with this pack of drama called GGS - Ganteng-Ganteng Sange. | Genres: Drama, Romance"
1321179,The King's Warden,"In a remote mountain village of 15th-century Joseon, humble headman Heung-do hears a rumor that any village hosting an exiled nobleman will be blessed with abundance and fortune. Hoping to bring prosperity to his impoverished community, he eagerly submits a petition to host one—unaware that his guest is none other than the fallen monarch, deposed boy-king Danjong.","['History', 'Drama']","[""coup d'etat"", 'exile', 'based on true story', 'king', 'period drama', 'middle ages (476-1453)', 'historical drama', 'depose', 'nobleman', '15th century', 'joseon dynasty (1392–1910)', 'based on real person', 'the gyeyu rebellion']","['Yoo Hai-jin', 'Park Ji-hoon', 'Yoo Ji-tae', 'Jeon Mi-do', 'Kim Min']","The King's Warden | In a remote mountain village of 15th-century Joseon, humble headman Heung-do hears a rumor that any village hosting an exiled nobleman will be blessed with abundance and fortune. Hoping to bring prosperity to his impoverished community, he eagerly submits a petition to host one—unaware that his guest is none other than the fallen monarch, deposed boy-king Danjong. | Genres: History, Drama | Keywords: coup d'etat, exile, based on true story, king, period drama, middle ages (476-1453), historical drama, depose, nobleman, 15th century, joseon dynasty (1392–1910), based on real person, the gyeyu rebellion | Cast: Yoo Hai-jin, Park Ji-hoon, Yoo Ji-tae, Jeon Mi-do, Kim Min"
244748,Swan Song,An aging actor remembers his past stage triumphs and contemplates a dim future on the stage of an empty theatre. The film was nominated for an Oscar for Best Live Action Short Film.,['Drama'],"['stage', 'aging actor', 'stage play', 'live theatre', 'short film', 'independent film']","['John Gielgud', 'Richard Briers']","Swan Song | An aging actor remembers his past stage triumphs and contemplates a dim future on the stage of an empty theatre. The film was nominated for an Oscar for Best Live Action Short Film. | Genres: Drama | Keywords: stage, aging actor, stage play, live theatre, short film, independent film | Cast: John Gielgud, Richard Briers"
561,Constantine,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","['Fantasy', 'Action', 'Horror']","['self sacrifice', 'angel', 'christianity', 'confession', 'superhero', 'supernatural', 'exorcism', 'archangel gabriel', 'holy water', 'redemption', 'based on comic', 'lucifer', 'demon', 'biting', 'occult', 'aftercreditsstinger', 'mysticism', 'supernatural power', 'good versus evil', 'compassionate', 'defiant', 'occult detective', 'dc elseworlds']","['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Djimon Hounsou', 'Max Baker']","Constantine | John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles. | Genres: Fantasy, Action, Horror | Keywords: self sacrifice, angel, christianity, confession, superhero, supernatural, exorcism, archangel gabriel, holy water, redemption, based on comic, lucifer, demon, biting, occult, aftercreditsstinger, mysticism, supernatural power, good versus evil, compassionate, defiant, occult detective, dc elseworlds | Cast: Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou, Max Baker"
1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","['Animation', 'Science Fiction', 'Family', 'Adventure', 'Drama']","['villain', 'robot', ""based on children's book"", 'female villain', 'aftercreditsstinger', 'duringcreditsstinger', 'kids', 'adopted son', 'understated', 'audacious', 'awestruck', 'oscar nominee']","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu']","The Wild Robot | After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose. | Genres: Animation, Science Fiction, Family, Adventure, Drama | Keywords: villain, robot, based on children's book, female villain, aftercreditsstinger, duringcreditsstinger, kids, adopted son, understated, audacious, awestruck, oscar nominee | Cast: Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu"
353081,Mission: Impossible - Fallout,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.","['Action', 'Adventure']","['mask', 'race against time', 'london, england', 'central intelligence agency (cia)', 'helicopter', 'paris, france', 'chase', 'gun', 'spy', 'countdown', 'fake identity', 'stunt', 'fistfight', 'double agent', 'norway', 'sequel', 'secret government organization', 'infiltration', 'mi6', 'motorcycle', 'killer', 'bomb remote detonator', 'nuclear weapons', 'handgun', 'fictional government agency', 'hand to hand combat', 'motorcycle chase', 'government agency', 'french police', 'helicopter chase', 'based on tv series', 'action']","['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson']","Mission: Impossible - Fallout | When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe. | Genres: Action, Adventure | Keywords: mask, race against time, london, england, central intelligence agency (cia), helicopter, paris, france, chase, gun, spy, countdown, fake identity, stunt, fistfight, double agent, norway, sequel, secret government organization, infiltration, mi6, motorcycle, killer, bomb remote detonator, nuclear weapons, handgun, fictional government agency, hand to hand combat, motorcycle chase, government agency, french police, helicopter chase, based on tv series, action | Cast: Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson"
9757,Norbit,"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",['Comedy'],"['orphanage', 'overweight woman']","['Eddie Murphy', 'Thandiwe Newton', 'Terry Crews', 'Clifton Powell', 'Lester Speight']","Norbit | A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her. | Genres: Comedy | Keywords: orphanage, overweight woman | Cast: Eddie Murphy, Thandiwe Newton, Terry Crews, Clifton Powell, Lester Speight"
